# srcdslab GitHub org - full repository list (293 repos) enumerated 2026-08-19 from https://github.com/orgs/srcdslab/repositories?page=N&type=all
# Columns: name | last updated | description
# grep for match|pug|mix|war|ready|knife|scrim|competitive|deathmatch|gungame|respawn|restrict|retake: NO match/PUG/mix repo exists (hits are KnifeMode, KnockbackRestrict, TeamManager(warmup), WeaponCleaner, BotManager, etc.)

sm-plugin-VIP_Test | 2026-08-18T12:35:32.991Z | 
sm-plugin-VIP_Tracers | 2026-08-18T12:27:22.636Z | Create weapon tracers
sm-plugin-VIP_VIPsOnline | 2026-08-18T12:24:22.674Z | 
sm-plugin-VScript | 2025-09-03T04:53:19.830Z | VScript function helper include
sm-plugin-VScript-Geometric | 2025-03-16T06:08:57.053Z | 
sm-plugin-VScript-MakoReactor | 2026-08-18T12:39:16.822Z | 
sm-plugin-VScript-MovingNPC | 2025-09-03T04:53:55.855Z | 
sm-plugin-VScript-ze_grey_world | 2025-05-31T09:21:38.111Z | ze_grey_world vscripts
sm-plugin-VScript_ze_aesthetic | 2025-03-16T06:08:12.582Z | ze_aesthetic VScript
sm-plugin-VScript_ze_dreamin | 2025-06-03T08:58:58.571Z | ze_dreamin VScript
sm-plugin-VScript_ze_eternal_grove | 2025-09-03T04:51:44.686Z | 
sm-plugin-VScript_ze_jjba | 2025-03-16T06:06:31.037Z | ze_jjba VScript
sm-plugin-VScript_ze_kitchen | 2025-03-16T06:07:27.803Z | ze_kitchen VScript
sm-plugin-VScript_ze_squidzer | 2025-06-24T17:09:22.592Z | Movement detection for the redlight greenlight game
sm-plugin-VoiceHUD | 2022-08-21T13:26:19.876Z | HUD to track player voice
sm-plugin-WeaponCleaner | 2026-08-18T12:44:50.942Z | Clean unneeded weapons
sm-plugin-ZLeader | 2026-08-18T12:26:25.805Z | Allows for a human to be a leader, and give them special functions with it
sm-plugin-ZR_Ammo | 2026-08-18T12:40:07.156Z | Infinite ammo
sm-plugin-ZR_GrenadeEffects | 2026-08-18T12:42:06.131Z | 
sm-plugin-ZR_LaserMines | 2026-08-18T12:26:54.157Z | Create laser mines
sm-plugin-ZR_MapHooks | 2025-05-31T09:31:29.747Z | 
sm-plugin-ZR_PersonalSkins | 2026-08-18T12:46:30.457Z | 
sm-plugin-ZR_RepeatKillDetector | 2026-08-18T12:25:23.755Z | 
sm-plugin-ZR_Tools | 2026-08-18T12:36:41.476Z | 
sm-plugin-autosilencer | 2026-08-18T12:45:20.464Z | If you like m4a1 or usp with silencer, you can set silencer by default in m4a1 and usp and you will not lose a few seconds putting the silencer always, also, yo…
sm-plugin-autosilencer-old | 2026-08-18T12:37:23.855Z | 
sm-plugin-entwatch-4 | 2026-08-18T12:37:35.683Z | A Sourcemod plugin that displays information about 'items' on maps. 
sm-plugin-fixfirebullets | 2026-08-18T12:27:53.871Z | Here is a fire bullet fix for source engine game servers, explanation: https://github.com/ValveSoftware/source-sdk-2013/pull/442
sm-plugin-lilac | 2026-08-18T12:46:34.803Z | Anti-Cheat for Source Games
sm-plugin-lilac-discord | 2026-08-18T12:04:25.564Z | Lilac detections notifications to discord
sm-plugin-mapchooser-extended | 2026-08-18T12:24:21.681Z | Extended version of the SourceMod MapChooser
sm-plugin-mapchooser_extended_old | 2024-03-02T13:55:29.745Z | Advanced automated map voting system
sm-plugin-nativevotes | 2026-08-18T12:35:11.027Z | NativeVotes SourceMod plugin
sm-plugin-sbpp-discord | 2026-08-18T12:24:24.323Z | Sourcebans notifications to discord
sm-plugin-smlib | 2026-08-18T12:35:48.324Z | Function Stock Library for Sourcemod with over 350 new functions
sm-plugin-stripper | 2026-08-18T12:46:18.941Z | Sourcepawn implementation of Stripper:Source
sm-plugin-stripper-discord | 2026-08-18T12:47:38.988Z | 
sm-plugin-toggle_weapon_sounds | 2026-08-18T12:37:07.673Z | Stop weapon sounds
sm-plugin-zombiereloaded | 2026-08-18T12:08:25.446Z | Zombie:Reloaded for SourceMod
sm-plugins-FixMapFiles | 2026-08-18T12:26:45.090Z | Download fixed files for multiple maps
smtranslate | 2026-08-18T12:09:13.195Z | Sourcemod translation linter and formatter
source-chat-relay | 2026-08-18T12:48:14.086Z | Communicate between Discord & In-Game, monitor server without being in-game, control the flow of messages and user base engagement!
source-engine-2018-hl2_src | 2026-08-18T12:38:47.700Z | Source Engine 1
sourcebans-pp | 2026-08-18T12:39:26.986Z | Admin, ban, and comms management system for the Source engine
sourcemod | 2026-08-18T12:56:49.188Z | SourceMod - Source Engine Scripting and Administration
sourcepawn | 2026-08-18T12:40:44.671Z | A small, statically typed scripting language.
srcdsknight | 2026-08-18T13:12:21.026Z | A simple dependency manager for srcds servers
throttle | 2026-08-18T12:41:49.044Z | Lightweight google-breakpad back-end written in PHP and backed by MySQL
throttle-dockerized | 2026-08-18T12:42:22.608Z | Run Throttle within Docker locally and make it visible globally within Ngrok
